Symbol,Quantity,EMA1,EM2,PositionType,TimeFrame,CPR_Timeframe,Segment
COFORGE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NTPC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
JKCEMENT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IDFC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PVRINOX-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
M&MFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SUNTV-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GMRINFRA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
TECHM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
NAUKRI-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PFC-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IDEA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PAGEIND-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ASTRAL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DLF-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
POWERGRID-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ADANIPORTS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
RECLTD-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BAJAJ-AUTO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
BAJAJFINSV-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GODREJPROP-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
JUBLFOOD-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
PERSISTENT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
OBEROIRLTY-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
COALINDIA-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
DALBHARAT-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MUTHOOTFIN-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LTF-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MCX-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INDUSTOWER-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ABFRL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
SYNGENE-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
GUJGASLTD-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
IDFCFIRSTB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
INDIGO-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ALKEM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LALPATHLAB-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
CROMPTON-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
MGL-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LTIM-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
RBLBANK-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
LTTS-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
ICICIPRULI-EQ,50,9,21,Intraday,FIVE_MINUTE,ONE_DAY,NSE
